regn_nm,sales_state_nm,classic_dst_cd,mo_id,mo_beg_dt,super_line_split,pg_sub_line_rollup,product_line_type_cd,sale_prem_amt,serv_prem_amt,item_inforce_cnt,nbp_cnt,beg_unif_pif_cnt,retained_unif_pif_cnt
Central Region,Dakotas,386,"202,112",12/1/2021,Health,Health,0536,0,909.62,,,,
Central Region,Dakotas,386,"202,003",3/1/2020,Life,AFLIC,0800,0,"12,030.14",,,,
Central Region,Dakotas,386,"202,003",3/1/2020,Life,AFLIC,0804,0,202.28,,,,
Central Region,Dakotas,386,"202,110",10/1/2021,Life,AFLIC,0801,0,17.92,,,,
Central Region,Dakotas,386,"202,001",1/1/2020,Life,AFLIC,0803,0,346.66,,,,
Central Region,Dakotas,386,"202,110",10/1/2021,Life,AFLIC,0804,0,130.63,,,,
Central Region,Dakotas,386,"202,011",11/1/2020,Life,AFLIC,0804,0,50.22,,,,
Central Region,Dakotas,386,"202,007",7/1/2020,Life,AFLIC,0800,0,"8,100.99",,,,
Central Region,Dakotas,386,"202,005",5/1/2020,Life,AFLIC,0803,0,246.66,,,,
Central Region,Dakotas,386,"202,108",8/1/2021,Life,AFLIC,0803,0,656.54,,,,
Central Region,Dakotas,386,"202,005",5/1/2020,Life,AFLIC,0800,0,"9,021.76",,,,
Central Region,Dakotas,386,"202,108",8/1/2021,Life,AFLIC,0800,0,"32,619.95",,,,
Central Region,Dakotas,386,"202,101",1/1/2021,Life,AFLIC,0804,0,50.22,,,,
Central Region,Dakotas,386,"202,112",12/1/2021,Life,AFLIC,0801,0,17.92,,,,
Central Region,Dakotas,386,"202,012",12/1/2020,Life,AFLIC,0804,0,50.22,,,,
Central Region,Dakotas,386,"202,010",10/1/2020,Life,AFLIC,0800,0,"10,771.31",,,,
Central Region,Dakotas,386,"202,102",2/1/2021,Life,AFLIC,0804,0,202.28,,,,
Central Region,Dakotas,386,"202,009",9/1/2020,Life,AFLIC,0804,0,150.22,,,,
Central Region,Dakotas,386,"202,104",4/1/2021,Life,AFLIC,0804,0,"1,066.41",,,,
Central Region,Dakotas,386,"202,002",2/1/2020,Life,AFLIC,0804,0,202.28,,,,
Central Region,Dakotas,386,"202,102",2/1/2021,Life,AFLIC,0803,0,144.38,,,,
Central Region,Dakotas,386,"202,110",10/1/2021,Health,Health,0510,0,"2,252",,,4,0
Central Region,Dakotas,386,"202,010",10/1/2020,Life,AFLIC,0803,0,296.44,,,,
Central Region,Dakotas,386,"202,109",9/1/2021,Life,AFLIC,0801,0,17.92,,,,
Central Region,Dakotas,386,"202,006",6/1/2020,Life,AFLIC,0800,0,"9,438.02",,1,,
Central Region,Dakotas,386,"202,006",6/1/2020,Life,AFLIC,0803,0,246.66,,,,
Central Region,Dakotas,386,"202,105",5/1/2021,Life,AFLIC,0803,0,"1,204.02",,,,
Central Region,Dakotas,386,"202,008",8/1/2020,Life,AFLIC,0803,0,196.44,,,,
Central Region,Dakotas,386,"202,011",11/1/2020,Life,AFLIC,0803,0,296.44,,,,
Central Region,Dakotas,386,"202,106",6/1/2021,Auto,Auto,2001,-48.86,"-1,703.05",,,,